bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1350461,2151858,text,151355,application/pdf,Introduced,https://legiscan.com/RI/text/H7676/id/2151858,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7676.pdf
1350745,2152138,text,14957,application/pdf,Introduced,https://legiscan.com/RI/text/H7705/id/2152138,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7705.pdf
1350571,2151966,text,125155,application/pdf,Introduced,https://legiscan.com/RI/text/H7733/id/2151966,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7733.pdf
1350753,2152146,text,123916,application/pdf,Introduced,https://legiscan.com/RI/text/H7779/id/2152146,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7779.pdf
1350849,2152236,text,14438,application/pdf,Introduced,https://legiscan.com/RI/text/H7847/id/2152236,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7847.pdf
1355341,2160499,text,12205,application/pdf,Introduced,https://legiscan.com/RI/text/H7959/id/2160499,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7959.pdf
1359714,2171001,text,128471,application/pdf,Introduced,https://legiscan.com/RI/text/H8007/id/2171001,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8007.pdf
1359736,2171004,text,127912,application/pdf,Introduced,https://legiscan.com/RI/text/H8009/id/2171004,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8009.pdf
1370958,2195243,text,12898,application/pdf,Introduced,https://legiscan.com/RI/text/H8077/id/2195243,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8077.pdf
1374476,2202495,text,132356,application/pdf,Introduced,https://legiscan.com/RI/text/H8119/id/2202495,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8119.pdf
1299604,2088122,text,23122,application/pdf,Introduced,https://legiscan.com/RI/text/S2003/id/2088122,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2003.pdf
1299604,2134107,text,24312,application/pdf,"Comm Sub",https://legiscan.com/RI/text/S2003/id/2134107,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2003A.pdf
1299512,2088030,text,28777,application/pdf,Introduced,https://legiscan.com/RI/text/S2004/id/2088030,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2004.pdf
1299512,2115311,text,29317,application/pdf,Amended,https://legiscan.com/RI/text/S2004/id/2115311,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2004Aaa.pdf
